,count,mean,std,min,25%,50%,75%,max
Area,13611.0,53048.284549261625,29324.095716881944,20420.0,36328.0,44652.0,61332.0,254616.0
Perimeter,13611.0,855.283458599662,214.28969589196143,524.736,703.5234999999999,794.9409999999999,977.213,1985.37
MajorAxisLength,13611.0,320.1418673032454,85.69418595953206,183.6011650038393,253.3036327107013,296.88336688673496,376.4950124297296,738.8601534818813
MinorAxisLength,13611.0,202.2707140825082,44.9700912945554,122.51265345074418,175.8481700385778,192.43173331431822,217.03174130329975,460.1984968278401
AspectRation,13611.0,1.5832419790174213,0.24667845568492627,1.0248675960667681,1.432306931834258,1.5511236655616438,1.7071089270344548,2.430306446836626
Eccentricity,13611.0,0.7508949293727165,0.09200176320337733,0.21895126335356507,0.715927745946016,0.7644408063975098,0.8104659844897781,0.9114229684680053
ConvexArea,13611.0,53768.20020571596,29774.91581700001,20684.0,36714.5,45178.0,62294.0,263261.0
EquivDiameter,13611.0,253.064219924914,59.17712014913515,161.24376423134018,215.06800343677347,238.4380258086249,279.4464667024921,569.3743583287609
Extent,13611.0,0.7497327873591233,0.04908636684603899,0.55531471681117,0.7186335273474764,0.7598589479870702,0.7868514965939105,0.8661946405648266
Solidity,13611.0,0.9871428435681517,0.004660379163490263,0.9192461570857022,0.9856703983135917,0.9882829984991706,0.9900131099788995,0.9946774999456888
roundness,13611.0,0.8732818313104205,0.05951988794823966,0.4896182562412148,0.8320963290133829,0.8831572891730107,0.9168688330108123,0.9906853996160323
Compactness,13611.0,0.7998636818716444,0.06171346312041559,0.6405767589768725,0.7624687469949659,0.8012766840140727,0.8342699107881788,0.9873029693778109
ShapeFactor1,13611.0,0.006563608510069212,0.0011279982276084996,0.0027780126683855494,0.005899917411582092,0.0066451744589910485,0.007271420159446909,0.010451169324378654
ShapeFactor2,13611.0,0.0017159473344485743,0.0005958748567323859,0.0005641690180332927,0.0011535202279788705,0.001693530977356598,0.0021702683011547387,0.0036649719644516834
ShapeFactor3,13611.0,0.6435901812933447,0.09899615048070137,0.41033858414131424,0.581358590523898,0.642044324344588,0.6960062840466322,0.9747671533422431
ShapeFactor4,13611.0,0.9950633118262984,0.0043664577487279995,0.9476874027098624,0.9937028954563084,0.9963859376796506,0.9978825430406695,0.9997325300471389
